experiment_name,dataset,autoencoder,manifold,fit_time,transform_time,trustworthiness_train,trustworthiness_test,knn_accuracy,distance_correlation,plot_train,plot_test
mnist_RAW_TSNE,mnist,None (Raw Data),TSNE,37.748725175857544,0.20106196403503418,0.9792316935551283,0.9040692817116658,0.844,0.43285779757531706,mnist_RAW_TSNE_train.png,mnist_RAW_TSNE_test.png
mnist_RAW_LLE,mnist,None (Raw Data),LLE,6.507592678070068,0.20917010307312012,0.8396361721790335,0.8195919510952624,0.783,0.2136197748622448,mnist_RAW_LLE_train.png,mnist_RAW_LLE_test.png
fashion_mnist_RAW_TSNE,fashion_mnist,None (Raw Data),TSNE,28.182996034622192,0.18351292610168457,0.9876729429630249,0.9664988113431822,0.718,0.7023912879553482,fashion_mnist_RAW_TSNE_train.png,fashion_mnist_RAW_TSNE_test.png
fashion_mnist_RAW_LLE,fashion_mnist,None (Raw Data),LLE,2.517655849456787,0.2415001392364502,0.8308833184726983,0.7980027169298692,0.609,0.4148154682810578,fashion_mnist_RAW_LLE_train.png,fashion_mnist_RAW_LLE_test.png
cifar10_RAW_TSNE,cifar10,None (Raw Data),TSNE,30.142616271972656,0.5504143238067627,0.9036381511592894,0.8166800815078961,0.175,0.6586944451288226,cifar10_RAW_TSNE_train.png,cifar10_RAW_TSNE_test.png
cifar10_RAW_LLE,cifar10,None (Raw Data),LLE,10.543687105178833,0.6134655475616455,0.7766489042791662,0.7686239599252844,0.174,0.4578978142963821,cifar10_RAW_LLE_train.png,cifar10_RAW_LLE_test.png
